sku,nome,categoria,marca,fabricante,modelo,compatibilidade_anos,preco,vendedor,cidade_uf,estoque,rating
716105,Escape Suzuki Kawasaki Ninja 400,Escape,Suzuki,Kawasaki,Ninja 400,2019-2023,182.76,MotoMix BH,Fortaleza/CE,16,3.9
672228,Escape Vedamotors BMW F 800 GS,Escape,Vedamotors,BMW,F 800 GS,2010-2016,86.8,Fort Motos,Belo Horizonte/MG,3,4.4
830400,Guidão Honda BMW F 800 GS,Guidão,Honda,BMW,F 800 GS,2015-2023,133.36,MotoMix BH,Porto Alegre/RS,14,4.8
706587,Escape Suzuki Honda CB 650R,Escape,Suzuki,Honda,CB 650R,2012-2025,190.79,MotoMix BH,Belo Horizonte/MG,12,4.9
383367,Disco de Freio Vedamotors Kawasaki Versys 650,Disco de Freio,Vedamotors,Kawasaki,Versys 650,2018-2018,166.68,Fort Motos,Porto Alegre/RS,24,4.2
639977,Coroa e Pinhão RK Kawasaki Versys 650,Coroa e Pinhão,RK,Kawasaki,Versys 650,2012-2016,87.3,RioBike,Campinas/SP,24,4.4
427648,Disco de Freio Yamaha Yamaha MT-07,Disco de Freio,Yamaha,Yamaha,MT-07,2021-2021,117.66,Maringá Racing,Campinas/SP,2,4.1
896542,Lâmpada Honda Kawasaki Ninja 400,Lâmpada,Honda,Kawasaki,Ninja 400,2018-2019,112.81,Garagem 2Rodas,Rio de Janeiro/RJ,14,3.7
492603,Filtro de Ar NGK Kawasaki Versys 650,Filtro de Ar,NGK,Kawasaki,Versys 650,2020-2025,210.37,Maringá Racing,Manaus/AM,7,4.1
492037,Lâmpada Vedamotors Kawasaki Ninja 400,Lâmpada,Vedamotors,Kawasaki,Ninja 400,2009-2018,112.61,MotoMix BH,Rio de Janeiro/RJ,19,3.2
745818,Coroa e Pinhão Kawasaki Honda XRE 300,Coroa e Pinhão,Kawasaki,Honda,XRE 300,2018-2019,214.31,Maringá Racing,Fortaleza/CE,28,4.2
193150,Disco de Freio Bosch Kawasaki Ninja 400,Disco de Freio,Bosch,Kawasaki,Ninja 400,2014-2016,194.86,Salvador Parts,Porto Alegre/RS,35,4.2
599073,Cabo de Acelerador Vedamotors Yamaha Fazer 250,Cabo de Acelerador,Vedamotors,Yamaha,Fazer 250,2014-2017,236.25,Fort Motos,Belo Horizonte/MG,20,4.4
599208,Guidão Suzuki Suzuki GSX-S750,Guidão,Suzuki,Suzuki,GSX-S750,2017-2017,107.75,Salvador Parts,São Paulo/SP,5,4.5
448165,Lâmpada Suzuki Kawasaki Ninja 400,Lâmpada,Suzuki,Kawasaki,Ninja 400,2019-2021,96.82,Salvador Parts,Salvador/BA,12,4.6
912237,Coroa e Pinhão Bosch Honda CB 650R,Coroa e Pinhão,Bosch,Honda,CB 650R,2020-2023,139.29,RioBike,Fortaleza/CE,1,4.2
467747,Pneu Vedamotors Yamaha MT-07,Pneu,Vedamotors,Yamaha,MT-07,2009-2019,115.06,Salvador Parts,Fortaleza/CE,20,3.8
269291,Disco de Freio Vedamotors Honda CB 650R,Disco de Freio,Vedamotors,Honda,CB 650R,2016-2016,191.01,Garagem 2Rodas,Curitiba/PR,1,4.6
828586,Escape Honda Triumph Tiger 660,Escape,Honda,Triumph,Tiger 660,2015-2025,193.78,Salvador Parts,Curitiba/PR,38,4.9
415449,Amortecedor Bosch Yamaha MT-07,Amortecedor,Bosch,Yamaha,MT-07,2023-2025,81.16,Salvador Parts,Rio de Janeiro/RJ,23,4.5
832920,Pneu Magnetron Honda CB 650R,Pneu,Magnetron,Honda,CB 650R,2014-2018,98.62,MotoCenter SP,Manaus/AM,5,4.1
227776,Filtro de Ar Magnetron BMW F 800 GS,Filtro de Ar,Magnetron,BMW,F 800 GS,2014-2018,139.86,MotoCenter SP,Porto Alegre/RS,30,4.6
535825,Pastilha de Freio Yamaha Yamaha Fazer 250,Pastilha de Freio,Yamaha,Yamaha,Fazer 250,2013-2013,92.69,Curitiba Motos,Belo Horizonte/MG,2,5.0
522042,Cabo de Acelerador Suzuki Kawasaki Z400,Cabo de Acelerador,Suzuki,Kawasaki,Z400,2012-2015,155.71,MotoCenter SP,Campinas/SP,15,4.2
395318,Cabo de Acelerador Yamaha Honda CG 160,Cabo de Acelerador,Yamaha,Honda,CG 160,2022-2024,102.96,Curitiba Motos,Goiânia/GO,21,4.6
871745,Escape Vedamotors Honda CB 650R,Escape,Vedamotors,Honda,CB 650R,2008-2022,149.92,MotoMix BH,Curitiba/PR,12,4.1
418762,Coroa e Pinhão Bosch Honda CB 650R,Coroa e Pinhão,Bosch,Honda,CB 650R,2018-2023,291.38,Maringá Racing,Curitiba/PR,1,4.4
493399,Filtro de Ar Kawasaki Suzuki GSX-S750,Filtro de Ar,Kawasaki,Suzuki,GSX-S750,2017-2021,107.27,Salvador Parts,São Paulo/SP,23,4.1
864266,Escape Kawasaki Honda XRE 300,Escape,Kawasaki,Honda,XRE 300,2022-2022,172.04,RioBike,Campinas/SP,7,4.2
934461,Filtro de Ar Honda Triumph Tiger 660,Filtro de Ar,Honda,Triumph,Tiger 660,2016-2024,261.88,MotoCenter SP,São Paulo/SP,16,5.0
911622,Coroa e Pinhão Magnetron Kawasaki Z400,Coroa e Pinhão,Magnetron,Kawasaki,Z400,2012-2023,122.12,Oficina do Zé,Porto Alegre/RS,7,3.7
435152,Escape Scud Kawasaki Versys 650,Escape,Scud,Kawasaki,Versys 650,2020-2023,166.67,Curitiba Motos,Rio de Janeiro/RJ,27,3.2
694315,Pneu NGK Honda CG 160,Pneu,NGK,Honda,CG 160,2012-2020,87.27,Oficina do Zé,Salvador/BA,29,4.2
642783,Amortecedor Vedamotors Yamaha MT-07,Amortecedor,Vedamotors,Yamaha,MT-07,2023-2024,189.98,MotoCenter SP,São Paulo/SP,21,4.3
926333,Pneu Yamaha Triumph Tiger 660,Pneu,Yamaha,Triumph,Tiger 660,2015-2025,222.36,MotoCenter SP,Curitiba/PR,26,4.0
542182,Guidão Motul Kawasaki Ninja 400,Guidão,Motul,Kawasaki,Ninja 400,2009-2011,106.26,Maringá Racing,Manaus/AM,25,3.6
211547,Pneu Yamaha Kawasaki Ninja 400,Pneu,Yamaha,Kawasaki,Ninja 400,2009-2017,173.92,Maringá Racing,Curitiba/PR,12,3.8
554349,Filtro de Ar Bosch Yamaha MT-07,Filtro de Ar,Bosch,Yamaha,MT-07,2016-2023,81.25,Oficina do Zé,Curitiba/PR,12,5.0
214544,Coroa e Pinhão RK Kawasaki Ninja 400,Coroa e Pinhão,RK,Kawasaki,Ninja 400,2018-2025,67.81,Fort Motos,Rio de Janeiro/RJ,19,4.1
141511,Pastilha de Freio RK Yamaha Fazer 250,Pastilha de Freio,RK,Yamaha,Fazer 250,2013-2017,342.76,Garagem 2Rodas,Fortaleza/CE,0,4.5
233288,Amortecedor Kawasaki Yamaha MT-07,Amortecedor,Kawasaki,Yamaha,MT-07,2015-2023,181.28,Maringá Racing,Curitiba/PR,16,4.2
560113,Guidão Motul Kawasaki Ninja 400,Guidão,Motul,Kawasaki,Ninja 400,2016-2025,176.55,MotoMix BH,Belo Horizonte/MG,1,4.9
471791,Cabo de Acelerador Bosch Kawasaki Z400,Cabo de Acelerador,Bosch,Kawasaki,Z400,2017-2018,301.45,MotoCenter SP,Belo Horizonte/MG,9,3.9
104126,Coroa e Pinhão NGK Yamaha MT-07,Coroa e Pinhão,NGK,Yamaha,MT-07,2013-2016,82.2,Garagem 2Rodas,Porto Alegre/RS,17,4.5
795137,Pastilha de Freio Vedamotors Yamaha Fazer 250,Pastilha de Freio,Vedamotors,Yamaha,Fazer 250,2019-2019,137.67,Oficina do Zé,Campinas/SP,24,4.7
797082,Coroa e Pinhão Bosch Yamaha MT-07,Coroa e Pinhão,Bosch,Yamaha,MT-07,2022-2024,167.56,Salvador Parts,Porto Alegre/RS,7,4.3
913944,Filtro de Ar Vedamotors Suzuki GSX-S750,Filtro de Ar,Vedamotors,Suzuki,GSX-S750,2008-2010,88.97,Curitiba Motos,Rio de Janeiro/RJ,11,4.5
156271,Pastilha de Freio Magnetron Honda CB 650R,Pastilha de Freio,Magnetron,Honda,CB 650R,2023-2025,173.44,MotoMix BH,Curitiba/PR,35,4.3
697040,Pneu Motul Yamaha MT-07,Pneu,Motul,Yamaha,MT-07,2009-2018,163.98,Garagem 2Rodas,Porto Alegre/RS,5,3.8
646677,Guidão Bosch Suzuki GSX-S750,Guidão,Bosch,Suzuki,GSX-S750,2017-2024,144.32,Oficina do Zé,Porto Alegre/RS,0,4.1
909002,Cabo de Acelerador RK Honda CB 650R,Cabo de Acelerador,RK,Honda,CB 650R,2016-2025,116.6,MotoMix BH,Curitiba/PR,9,4.4
260649,Disco de Freio Vedamotors Honda XRE 300,Disco de Freio,Vedamotors,Honda,XRE 300,2022-2022,125.19,Salvador Parts,Belo Horizonte/MG,25,4.3
178804,Amortecedor Magnetron BMW F 800 GS,Amortecedor,Magnetron,BMW,F 800 GS,2022-2024,118.82,RioBike,Curitiba/PR,28,4.4
604693,Amortecedor NGK Kawasaki Z400,Amortecedor,NGK,Kawasaki,Z400,2020-2021,87.81,Fort Motos,Curitiba/PR,0,4.5
334861,Escape Yamaha Honda CG 160,Escape,Yamaha,Honda,CG 160,2014-2017,101.02,Salvador Parts,Salvador/BA,15,4.1
900776,Escape Kawasaki Yamaha MT-07,Escape,Kawasaki,Yamaha,MT-07,2018-2022,122.35,Maringá Racing,Fortaleza/CE,8,5.0
135097,Disco de Freio NGK Yamaha Fazer 250,Disco de Freio,NGK,Yamaha,Fazer 250,2020-2022,218.84,Garagem 2Rodas,Fortaleza/CE,14,4.4
690482,Escape Vedamotors Honda XRE 300,Escape,Vedamotors,Honda,XRE 300,2019-2019,346.42,Garagem 2Rodas,Salvador/BA,28,4.2
355585,Cabo de Acelerador NGK Kawasaki Ninja 400,Cabo de Acelerador,NGK,Kawasaki,Ninja 400,2023-2025,124.85,Maringá Racing,Manaus/AM,24,3.7
630519,Pastilha de Freio Bosch Kawasaki Versys 650,Pastilha de Freio,Bosch,Kawasaki,Versys 650,2017-2020,226.44,Curitiba Motos,São Paulo/SP,16,3.6
372149,Amortecedor Suzuki Suzuki GSX-S750,Amortecedor,Suzuki,Suzuki,GSX-S750,2018-2025,127.37,Maringá Racing,Manaus/AM,23,4.3
382105,Lâmpada Motul Honda XRE 300,Lâmpada,Motul,Honda,XRE 300,2022-2022,234.34,Curitiba Motos,Salvador/BA,0,3.8
979302,Guidão Yamaha Yamaha MT-07,Guidão,Yamaha,Yamaha,MT-07,2018-2024,153.9,RioBike,Fortaleza/CE,10,4.9
111288,Lâmpada Suzuki Honda XRE 300,Lâmpada,Suzuki,Honda,XRE 300,2018-2024,224.15,Salvador Parts,São Paulo/SP,6,3.7
248504,Escape Scud Honda CB 650R,Escape,Scud,Honda,CB 650R,2018-2024,153.39,MotoMix BH,Rio de Janeiro/RJ,27,4.1
241601,Pneu RK BMW F 800 GS,Pneu,RK,BMW,F 800 GS,2011-2022,213.53,Oficina do Zé,Salvador/BA,20,4.0
205318,Amortecedor NGK Kawasaki Versys 650,Amortecedor,NGK,Kawasaki,Versys 650,2019-2024,110.63,Salvador Parts,Salvador/BA,3,4.1
402311,Escape Yamaha Triumph Tiger 660,Escape,Yamaha,Triumph,Tiger 660,2016-2019,138.7,Oficina do Zé,Goiânia/GO,11,4.1
556059,Lâmpada Kawasaki Yamaha Fazer 250,Lâmpada,Kawasaki,Yamaha,Fazer 250,2019-2019,182.88,Oficina do Zé,Porto Alegre/RS,7,4.2
780455,Guidão Scud Honda CG 160,Guidão,Scud,Honda,CG 160,2023-2024,150.05,RioBike,Belo Horizonte/MG,23,4.7
205761,Coroa e Pinhão Vedamotors Suzuki GSX-S750,Coroa e Pinhão,Vedamotors,Suzuki,GSX-S750,2022-2022,294.68,MotoMix BH,Rio de Janeiro/RJ,21,4.6
290321,Cabo de Acelerador Vedamotors BMW F 800 GS,Cabo de Acelerador,Vedamotors,BMW,F 800 GS,2011-2018,306.55,Salvador Parts,Salvador/BA,16,4.6
729914,Pneu Vedamotors Kawasaki Ninja 400,Pneu,Vedamotors,Kawasaki,Ninja 400,2023-2025,117.32,Oficina do Zé,Porto Alegre/RS,14,4.4
252912,Cabo de Acelerador Magnetron BMW F 800 GS,Cabo de Acelerador,Magnetron,BMW,F 800 GS,2012-2016,208.51,Salvador Parts,Porto Alegre/RS,11,4.2
339061,Coroa e Pinhão Motul Yamaha Fazer 250,Coroa e Pinhão,Motul,Yamaha,Fazer 250,2015-2015,59.89,Salvador Parts,Porto Alegre/RS,21,4.9
226782,Guidão Yamaha Kawasaki Z400,Guidão,Yamaha,Kawasaki,Z400,2018-2018,286.34,RioBike,Salvador/BA,15,4.1
672424,Amortecedor Bosch Kawasaki Ninja 400,Amortecedor,Bosch,Kawasaki,Ninja 400,2020-2024,247.67,Curitiba Motos,Curitiba/PR,17,4.0
717942,Lâmpada RK Honda CB 650R,Lâmpada,RK,Honda,CB 650R,2023-2023,140.38,Garagem 2Rodas,Rio de Janeiro/RJ,8,4.6
480034,Amortecedor Yamaha Kawasaki Z400,Amortecedor,Yamaha,Kawasaki,Z400,2011-2025,136.01,MotoMix BH,Campinas/SP,4,4.2
470340,Cabo de Acelerador Suzuki Honda CB 650R,Cabo de Acelerador,Suzuki,Honda,CB 650R,2009-2022,209.49,MotoCenter SP,São Paulo/SP,24,3.8
263232,Coroa e Pinhão Motul Honda CB 650R,Coroa e Pinhão,Motul,Honda,CB 650R,2014-2021,115.92,RioBike,Rio de Janeiro/RJ,12,4.7
829507,Pastilha de Freio Yamaha Triumph Tiger 660,Pastilha de Freio,Yamaha,Triumph,Tiger 660,2020-2023,98.11,Oficina do Zé,São Paulo/SP,2,4.4
657859,Filtro de Ar Scud Honda CB 650R,Filtro de Ar,Scud,Honda,CB 650R,2013-2014,68.95,MotoCenter SP,Salvador/BA,11,4.1
528807,Escape RK Kawasaki Versys 650,Escape,RK,Kawasaki,Versys 650,2013-2020,102.83,Oficina do Zé,Campinas/SP,12,3.8
965257,Coroa e Pinhão Yamaha Kawasaki Versys 650,Coroa e Pinhão,Yamaha,Kawasaki,Versys 650,2017-2025,134.79,Oficina do Zé,Rio de Janeiro/RJ,0,4.2
797321,Pneu Suzuki Kawasaki Versys 650,Pneu,Suzuki,Kawasaki,Versys 650,2016-2016,183.19,Fort Motos,Curitiba/PR,16,4.2
308605,Guidão Scud Honda CG 160,Guidão,Scud,Honda,CG 160,2013-2019,100.98,Garagem 2Rodas,Porto Alegre/RS,19,3.8
743710,Amortecedor NGK Honda CG 160,Amortecedor,NGK,Honda,CG 160,2022-2024,184.54,Fort Motos,Rio de Janeiro/RJ,21,4.8
811885,Coroa e Pinhão Yamaha Kawasaki Z400,Coroa e Pinhão,Yamaha,Kawasaki,Z400,2020-2020,799.75,MotoCenter SP,Salvador/BA,17,4.2
520223,Guidão Vedamotors Honda CG 160,Guidão,Vedamotors,Honda,CG 160,2021-2024,84.86,Oficina do Zé,Belo Horizonte/MG,27,5.0
772461,Amortecedor Scud Kawasaki Versys 650,Amortecedor,Scud,Kawasaki,Versys 650,2011-2019,92.09,Oficina do Zé,Fortaleza/CE,15,4.1
819450,Disco de Freio Honda Yamaha MT-07,Disco de Freio,Honda,Yamaha,MT-07,2012-2014,122.18,Curitiba Motos,Fortaleza/CE,25,4.7
622073,Pastilha de Freio Scud Yamaha MT-07,Pastilha de Freio,Scud,Yamaha,MT-07,2023-2024,147.14,MotoCenter SP,Belo Horizonte/MG,21,4.8
642111,Amortecedor Vedamotors Triumph Tiger 660,Amortecedor,Vedamotors,Triumph,Tiger 660,2010-2021,252.86,RioBike,Goiânia/GO,5,3.6
756370,Escape NGK Yamaha Fazer 250,Escape,NGK,Yamaha,Fazer 250,2009-2024,152.78,Maringá Racing,São Paulo/SP,6,3.8
222380,Amortecedor Bosch Kawasaki Ninja 400,Amortecedor,Bosch,Kawasaki,Ninja 400,2008-2020,82.31,RioBike,Curitiba/PR,8,4.3
878412,Lâmpada Vedamotors Kawasaki Z400,Lâmpada,Vedamotors,Kawasaki,Z400,2019-2020,167.25,Oficina do Zé,Porto Alegre/RS,19,4.1
251740,Coroa e Pinhão Honda Suzuki GSX-S750,Coroa e Pinhão,Honda,Suzuki,GSX-S750,2022-2023,181.92,Curitiba Motos,Fortaleza/CE,17,4.6
204605,Amortecedor RK Honda XRE 300,Amortecedor,RK,Honda,XRE 300,2013-2024,155.57,MotoMix BH,Belo Horizonte/MG,26,4.4
470611,Lâmpada Magnetron Triumph Tiger 660,Lâmpada,Magnetron,Triumph,Tiger 660,2011-2016,152.12,Maringá Racing,Salvador/BA,23,3.8
189863,Guidão Yamaha Suzuki GSX-S750,Guidão,Yamaha,Suzuki,GSX-S750,2012-2018,70.91,Oficina do Zé,São Paulo/SP,26,4.6
118640,Pastilha de Freio Motul Kawasaki Ninja 400,Pastilha de Freio,Motul,Kawasaki,Ninja 400,2016-2025,152.02,MotoMix BH,Campinas/SP,6,4.8
675144,Cabo de Acelerador NGK BMW F 800 GS,Cabo de Acelerador,NGK,BMW,F 800 GS,2017-2020,100.48,Fort Motos,Curitiba/PR,27,5.0
579706,Amortecedor Suzuki Yamaha Fazer 250,Amortecedor,Suzuki,Yamaha,Fazer 250,2012-2017,233.97,Maringá Racing,Curitiba/PR,12,4.5
201087,Filtro de Ar NGK Suzuki GSX-S750,Filtro de Ar,NGK,Suzuki,GSX-S750,2021-2021,60.07,Curitiba Motos,Belo Horizonte/MG,28,3.6
470660,Coroa e Pinhão RK Triumph Tiger 660,Coroa e Pinhão,RK,Triumph,Tiger 660,2022-2024,309.71,Salvador Parts,Rio de Janeiro/RJ,7,4.2
272591,Filtro de Ar Motul Kawasaki Ninja 400,Filtro de Ar,Motul,Kawasaki,Ninja 400,2019-2025,109.7,MotoCenter SP,São Paulo/SP,10,4.5
110309,Cabo de Acelerador NGK Kawasaki Versys 650,Cabo de Acelerador,NGK,Kawasaki,Versys 650,2014-2022,173.01,Oficina do Zé,Curitiba/PR,0,3.8
703563,Pastilha de Freio Bosch Kawasaki Ninja 400,Pastilha de Freio,Bosch,Kawasaki,Ninja 400,2012-2018,78.85,Fort Motos,Manaus/AM,6,4.4
497706,Amortecedor Yamaha Honda XRE 300,Amortecedor,Yamaha,Honda,XRE 300,2008-2019,221.86,Oficina do Zé,Salvador/BA,16,4.3
274556,Lâmpada Honda BMW F 800 GS,Lâmpada,Honda,BMW,F 800 GS,2012-2024,118.12,Oficina do Zé,Salvador/BA,21,4.3
462614,Pneu Motul Honda CG 160,Pneu,Motul,Honda,CG 160,2017-2018,166.79,MotoMix BH,Curitiba/PR,21,4.5
787997,Pastilha de Freio Bosch Yamaha MT-07,Pastilha de Freio,Bosch,Yamaha,MT-07,2010-2019,144.17,Fort Motos,Salvador/BA,24,4.6
662664,Escape Yamaha Honda XRE 300,Escape,Yamaha,Honda,XRE 300,2023-2025,244.82,RioBike,Rio de Janeiro/RJ,8,4.5
426974,Disco de Freio Honda Honda CG 160,Disco de Freio,Honda,Honda,CG 160,2020-2022,196.76,RioBike,Campinas/SP,25,4.1
135579,Filtro de Ar Yamaha Kawasaki Ninja 400,Filtro de Ar,Yamaha,Kawasaki,Ninja 400,2008-2020,192.03,Salvador Parts,Curitiba/PR,18,4.3
228809,Cabo de Acelerador Scud Kawasaki Ninja 400,Cabo de Acelerador,Scud,Kawasaki,Ninja 400,2011-2024,134.86,Fort Motos,Campinas/SP,18,4.6
654895,Filtro de Ar NGK Triumph Tiger 660,Filtro de Ar,NGK,Triumph,Tiger 660,2012-2022,113.68,Salvador Parts,Salvador/BA,15,4.2
144248,Filtro de Ar Vedamotors Yamaha Fazer 250,Filtro de Ar,Vedamotors,Yamaha,Fazer 250,2011-2019,117.4,Fort Motos,Goiânia/GO,17,3.9
384895,Amortecedor Scud Suzuki GSX-S750,Amortecedor,Scud,Suzuki,GSX-S750,2019-2020,70.73,Fort Motos,Rio de Janeiro/RJ,23,3.9
342970,Amortecedor Magnetron Honda CG 160,Amortecedor,Magnetron,Honda,CG 160,2019-2019,152.17,Curitiba Motos,Manaus/AM,23,4.4
958606,Pastilha de Freio Honda Triumph Tiger 660,Pastilha de Freio,Honda,Triumph,Tiger 660,2012-2016,105.8,MotoCenter SP,Salvador/BA,15,4.9
302506,Lâmpada Suzuki Suzuki GSX-S750,Lâmpada,Suzuki,Suzuki,GSX-S750,2022-2025,135.2,Oficina do Zé,São Paulo/SP,2,4.2
144243,Escape NGK Triumph Tiger 660,Escape,NGK,Triumph,Tiger 660,2022-2024,125.11,MotoMix BH,Belo Horizonte/MG,8,3.9
627226,Pastilha de Freio Motul Yamaha Fazer 250,Pastilha de Freio,Motul,Yamaha,Fazer 250,2011-2019,84.69,Fort Motos,Fortaleza/CE,10,4.2
323726,Lâmpada Motul Honda CG 160,Lâmpada,Motul,Honda,CG 160,2021-2022,210.18,RioBike,Rio de Janeiro/RJ,7,4.7
401660,Pastilha de Freio Kawasaki BMW F 800 GS,Pastilha de Freio,Kawasaki,BMW,F 800 GS,2019-2021,185.93,MotoMix BH,Porto Alegre/RS,12,4.5
310538,Pastilha de Freio Scud Kawasaki Versys 650,Pastilha de Freio,Scud,Kawasaki,Versys 650,2008-2015,248.92,Garagem 2Rodas,Fortaleza/CE,26,4.4
779896,Disco de Freio NGK Kawasaki Ninja 400,Disco de Freio,NGK,Kawasaki,Ninja 400,2016-2023,112.29,Garagem 2Rodas,Rio de Janeiro/RJ,10,4.6
990251,Cabo de Acelerador Honda Suzuki GSX-S750,Cabo de Acelerador,Honda,Suzuki,GSX-S750,2017-2023,87.29,Curitiba Motos,Manaus/AM,23,4.8
187515,Pastilha de Freio Bosch Kawasaki Versys 650,Pastilha de Freio,Bosch,Kawasaki,Versys 650,2012-2015,106.1,Fort Motos,São Paulo/SP,20,4.0
664588,Coroa e Pinhão Suzuki Yamaha Fazer 250,Coroa e Pinhão,Suzuki,Yamaha,Fazer 250,2016-2023,126.9,MotoCenter SP,São Paulo/SP,24,3.6
570188,Disco de Freio NGK Yamaha MT-07,Disco de Freio,NGK,Yamaha,MT-07,2017-2020,173.34,MotoCenter SP,Salvador/BA,25,4.1
460949,Lâmpada Vedamotors BMW F 800 GS,Lâmpada,Vedamotors,BMW,F 800 GS,2020-2023,210.45,MotoMix BH,Salvador/BA,21,4.6
704306,Filtro de Ar Scud Kawasaki Versys 650,Filtro de Ar,Scud,Kawasaki,Versys 650,2009-2018,150.7,Oficina do Zé,Campinas/SP,19,4.4
297544,Disco de Freio Honda Honda XRE 300,Disco de Freio,Honda,Honda,XRE 300,2009-2013,82.61,Salvador Parts,Fortaleza/CE,9,4.6
656883,Escape Bosch Yamaha Fazer 250,Escape,Bosch,Yamaha,Fazer 250,2014-2018,119.67,Fort Motos,Goiânia/GO,18,4.4
754509,Disco de Freio Honda Honda CG 160,Disco de Freio,Honda,Honda,CG 160,2019-2022,155.55,MotoMix BH,Belo Horizonte/MG,16,5.0
932011,Filtro de Ar Vedamotors Suzuki GSX-S750,Filtro de Ar,Vedamotors,Suzuki,GSX-S750,2014-2018,341.31,Maringá Racing,São Paulo/SP,18,3.7
268243,Pneu NGK Honda CG 160,Pneu,NGK,Honda,CG 160,2011-2011,129.46,MotoCenter SP,Salvador/BA,18,5.0
165068,Cabo de Acelerador Suzuki Yamaha MT-07,Cabo de Acelerador,Suzuki,Yamaha,MT-07,2010-2019,224.36,MotoCenter SP,Porto Alegre/RS,12,4.8
668435,Coroa e Pinhão Scud Kawasaki Z400,Coroa e Pinhão,Scud,Kawasaki,Z400,2013-2015,134.2,RioBike,Porto Alegre/RS,11,4.3
123765,Guidão Motul Kawasaki Versys 650,Guidão,Motul,Kawasaki,Versys 650,2019-2020,349.45,Salvador Parts,São Paulo/SP,18,4.5
126241,Filtro de Ar NGK Kawasaki Versys 650,Filtro de Ar,NGK,Kawasaki,Versys 650,2013-2013,129.34,RioBike,Campinas/SP,24,4.8
481975,Pastilha de Freio RK Yamaha MT-07,Pastilha de Freio,RK,Yamaha,MT-07,2021-2023,139.22,MotoMix BH,Curitiba/PR,9,4.8
